"","draw","variety_encoded","Intercept","slope"
"1",12,"0",3.10398287318907,0.0900798079236431
"2",24,"0",3.62468972280737,0.101021063399247
"3",54,"0",3.44963053741655,0.0977653959058386
"4",141,"0",2.81232815013193,0.0995279307818473
"5",158,"0",3.00789177003318,0.0937476114756409
"6",206,"0",3.36552959086925,0.0966184158698954
"7",278,"0",3.24476999441665,0.0894300210721513
"8",301,"0",3.45807341392842,0.102641288864819
"9",313,"0",2.77364645646456,0.100438670168655
"10",392,"0",3.03302110287182,0.0997580031585216
"11",435,"0",2.77280567883888,0.0943862111103949
"12",450,"0",2.83409137386211,0.0967348814690187
"13",466,"0",3.68520111770798,0.0947586262334981
"14",470,"0",3.11443783091896,0.106225172420182
"15",557,"0",3.31948040651488,0.101905244752294
"16",596,"0",3.27743358822626,0.103633368135474
"17",599,"0",2.92302678809522,0.0965059601377426
"18",743,"0",3.10433946319707,0.0991442270371899
"19",768,"0",3.16373417877522,0.0904556724015957
"20",803,"0",3.2689692964816,0.0943794905363661
"21",840,"0",3.13123015018526,0.10046977949806
"22",878,"0",3.72969662033043,0.0935376359395498
"23",879,"0",3.61342664960636,0.0976168921763259
"24",979,"0",2.89449263624806,0.103034460565518
"25",1002,"0",3.32264528493287,0.105845006475693
"26",1016,"0",2.8786426854607,0.0934899810533983
"27",1044,"0",3.01999594474085,0.100562389022572
"28",1117,"0",3.56870980796604,0.0989295108187389
"29",1168,"0",3.23254915151906,0.101551769635304
"30",1320,"0",3.20045174002792,0.103890226457769
"31",1464,"0",3.33088919244768,0.0919460211633224
"32",1481,"0",3.25801749594738,0.101610823522948
"33",1485,"0",2.78269445111143,0.095044503485289
"34",1502,"0",3.50096396008324,0.0990588974302977
"35",1543,"0",3.40603257492196,0.0927655941877767
"36",1548,"0",3.09240057271411,0.0986397819891026
"37",1582,"0",2.98733226959064,0.0965332256321369
"38",1649,"0",2.75192253740509,0.0975054997838598
"39",1653,"0",2.93389262850987,0.102308975517675
"40",1699,"0",3.05504093970786,0.104106121043676
"41",1773,"0",3.12889695683202,0.0973374158671436
"42",1788,"0",3.1016431831516,0.0924459413237919
"43",1798,"0",3.07893218164201,0.0983444600069283
"44",1821,"0",3.15733757728868,0.0964976624395489
"45",1879,"0",3.09101227494446,0.10239377593688
"46",1906,"0",3.25099674990085,0.100491345800865
"47",1932,"0",3.4617276938044,0.0996749926661193
"48",1933,"0",3.35055880517672,0.0969482141099219
"49",1944,"0",3.21194569702929,0.0923885217040933
"50",2076,"0",3.43837124619836,0.0989405855781728
"51",2091,"0",3.10644801563906,0.101082180696752
"52",2204,"0",3.32024716707941,0.10041492844051
"53",2316,"0",3.17311494717889,0.0972083331813364
"54",2322,"0",3.29344383914861,0.100293771925053
"55",2394,"0",3.56933783699759,0.0998763394529072
"56",2452,"0",3.33550385320552,0.0954194751418418
"57",2478,"0",3.32798871891484,0.0968720095018803
"58",2479,"0",3.14614144107362,0.104694269989674
"59",2483,"0",3.37933516894218,0.100059610352515
"60",2516,"0",3.17671341044876,0.101871319221296
"61",2534,"0",3.0252950035729,0.103751591185732
"62",2567,"0",3.51835488961155,0.0954682850858394
"63",2617,"0",3.06075270538666,0.0950423194247288
"64",2625,"0",3.37137225771785,0.0953237636232769
"65",2632,"0",2.98603332639591,0.0944821742991793
"66",2672,"0",3.10442191149346,0.1043377304639
"67",2681,"0",3.586844689073,0.0957658730041235
"68",2753,"0",3.5421931375833,0.095420068423369
"69",2754,"0",3.27060761640661,0.0975348265353265
"70",2799,"0",3.0379328720924,0.0923138490541799
"71",2809,"0",3.40136597281831,0.097774436518269
"72",2819,"0",3.38584794583863,0.0989320516069174
"73",2826,"0",3.03651889572818,0.0986815280322603
"74",2833,"0",2.91772037891965,0.100242171470852
"75",2865,"0",3.20208718761677,0.0966036081102919
"76",2956,"0",3.71524159062877,0.0942961160523286
"77",3081,"0",3.15398670039988,0.0983262002813077
"78",3102,"0",3.33496329249788,0.0997059590220841
"79",3163,"0",3.02666083010013,0.0941159688197473
"80",3205,"0",2.94744430526523,0.101960711576076
"81",3223,"0",3.1208281245349,0.0996873975923007
"82",3273,"0",3.24504139200959,0.0998185336529036
"83",3294,"0",2.9549053968152,0.0960850396265698
"84",3317,"0",3.03624123005531,0.101677760289233
"85",3345,"0",3.12479911432214,0.0921070004838362
"86",3350,"0",3.43545186884267,0.0983794897866606
"87",3498,"0",3.32159971980334,0.0998382917006335
"88",3512,"0",3.30342299300602,0.105682072356884
"89",3514,"0",3.16113226223122,0.101282778430725
"90",3563,"0",2.86783365164293,0.0994022908616131
"91",3571,"0",3.23879722620461,0.0965332256321369
"92",3577,"0",3.18204400297491,0.0953403438252807
