"",".chain",".iteration",".draw","(Intercept)","DD_5_delta_test"
"1",1,1,1,3.12281398408949,0.0957933477666613
"2",1,2,2,3.14433210500673,0.0799370523192134
"3",1,3,3,2.8234432651724,0.0945995793796545
"4",1,4,4,3.10435966317559,0.0871723758934502
"5",1,5,5,3.24492356234052,0.0863703162256634
"6",1,6,6,3.10332272122154,0.089320670023146
"7",1,7,7,3.06026608826347,0.0861695347423354
"8",1,8,8,3.02382569267151,0.0888118244017652
"9",1,9,9,3.03796278765144,0.0859053502118106
"10",1,10,10,3.33853509900253,0.0886891284380186
"11",1,11,11,3.24389148965124,0.0819126909414169
"12",1,12,12,3.45351425327442,0.079667975750492
"13",1,13,13,3.20255812828282,0.0924943690883759
"14",1,14,14,3.07926377120278,0.0914519015504863
"15",1,15,15,3.49719415182141,0.0842082454825023
"16",1,16,16,3.29541652449935,0.083707962792538
"17",1,17,17,3.0899264571792,0.0906600143655906
"18",1,18,18,3.04579610333235,0.0845398318387502
"19",1,19,19,3.14214898021624,0.0928699816048904
"20",1,20,20,3.15263761827465,0.0917313326019224
"21",1,21,21,3.06225033037615,0.0848870983932536
"22",1,22,22,3.11079456692423,0.0964821236713296
"23",1,23,23,3.18050710383523,0.0905398774181313
"24",1,24,24,3.35219370235778,0.0836658266810499
"25",1,25,25,3.11643221692797,0.0914866836042714
"26",1,26,26,3.43798610888658,0.0861275796154648
"27",1,27,27,3.1083974305963,0.0888409682264162
"28",1,28,28,3.20736856426281,0.0877370728574858
"29",1,29,29,3.09485258251949,0.0849306445850075
"30",1,30,30,2.97827067125344,0.0900963823176315
"31",1,31,31,2.91377665719815,0.0838665727082007
"32",1,32,32,3.00460170701006,0.0914278447926093
"33",1,33,33,3.19549076865997,0.0849156230397689
"34",1,34,34,3.42194230250586,0.0873134199148042
"35",1,35,35,3.21375121131799,0.0876967152914398
"36",1,36,36,3.07674784064164,0.0907084431986198
"37",1,37,37,3.35159823829702,0.0851053997051423
"38",1,38,38,3.18761213948591,0.091559733137772
"39",1,39,39,3.4176399668179,0.081770351267922
"40",1,40,40,3.25048423498807,0.0829591503911707
"41",1,41,41,3.16613880583303,0.0892813423442427
"42",1,42,42,3.31633296522447,0.0846450337033956
"43",1,43,43,3.01708080725215,0.0820014480724527
"44",1,44,44,3.27090062456674,0.0839776161759544
"45",1,45,45,3.00130332910979,0.0914254404243177
"46",1,46,46,3.22525457258144,0.0886486858626531
"47",1,47,47,3.22691564794126,0.0872823894347235
"48",1,48,48,2.91491538984678,0.0879405713842073
"49",1,49,49,2.83986497780842,0.0870057958610393
"50",1,50,50,2.94958540091037,0.0937487490696068
"51",1,51,51,3.29609565016116,0.0824978194671233
"52",1,52,52,3.23471833691765,0.089084886498519
"53",1,53,53,3.3282940170594,0.0809569241218282
"54",1,54,54,3.24391011731383,0.0919783430315006
"55",1,55,55,3.04186520663986,0.0937226764917804
"56",1,56,56,3.20712955741081,0.0841843624699357
"57",1,57,57,2.97432931036721,0.0964758264910728
"58",1,58,58,2.92497342382063,0.0974594844972151
"59",1,59,59,3.47295582850178,0.0787967479745479
"60",1,60,60,3.28239184999286,0.0821529581806806
"61",1,61,61,3.24787715760491,0.0911795657791217
"62",1,62,62,3.15289277852994,0.0880421830611227
"63",1,63,63,3.09199823109259,0.0855864311666424
"64",1,64,64,3.37483129693843,0.0895483516688094
"65",1,65,65,3.08446611047228,0.0850608824818871
"66",1,66,66,3.10904014573972,0.0904321485896112
"67",1,67,67,3.11596062561636,0.0849230999261066
"68",1,68,68,3.40089468602506,0.081169826733752
"69",1,69,69,3.09536737669121,0.0943862097993085
"70",1,70,70,3.05234316229989,0.0826940839762595
"71",1,71,71,3.03881757787818,0.0950399720446885
"72",1,72,72,3.02686214543648,0.0797305847809062
"73",1,73,73,3.22035703598355,0.0973552284350008
"74",1,74,74,3.32098473523893,0.0955531151300097
"75",1,75,75,3.18077714830855,0.0995811134117434
"76",1,76,76,3.30840374704352,0.0765302479258142
"77",1,77,77,3.19508440539972,0.0808854215303519
"78",1,78,78,3.06022320522661,0.0938634900091838
"79",1,79,79,3.10981060767783,0.0800427221071959
"80",1,80,80,3.34664668067587,0.0952109635944427
"81",1,81,81,3.2604598714276,0.0866641332774399
"82",1,82,82,3.29447887894352,0.0852833300377637
"83",1,83,83,3.02286473859788,0.0914593245187937
"84",1,84,84,3.2313782079914,0.0877978550474802
"85",1,85,85,3.23098626330098,0.0860224887663361
"86",1,86,86,3.1544980016422,0.0924876734096149
"87",1,87,87,3.2236589460794,0.0925318214832755
"88",1,88,88,3.52211449556816,0.0799812793946393
"89",1,89,89,3.05605055157911,0.0924579171235131
"90",1,90,90,3.05971278314458,0.0899325759799197
"91",1,91,91,2.8833121313838,0.0873711813830641
"92",1,92,92,3.06238693723452,0.0886454973717579
"93",1,93,93,3.30057672192654,0.0877557732308311
"94",1,94,94,3.34594476141125,0.0913117524314517
"95",1,95,95,3.18007048783485,0.0824721071237496
"96",1,96,96,3.09014146965802,0.0855499926772426
"97",1,97,97,3.43938101322338,0.0896056731632761
"98",1,98,98,3.02196559232288,0.0972968942540265
"99",1,99,99,3.38369735296226,0.0897750714848173
"100",1,100,100,3.22281960280483,0.0837228140790536
"101",1,101,101,3.15611722059781,0.0829508741932309
"102",1,102,102,3.05722282804549,0.0893438849964319
"103",1,103,103,3.17890115182406,0.0892799461976706
"104",1,104,104,3.21553118074928,0.0872708092870487
"105",1,105,105,3.07981740589506,0.0881117371647232
"106",1,106,106,2.97795602140827,0.086422287078595
"107",1,107,107,3.01591575299428,0.0931382123309552
"108",1,108,108,2.91428177327876,0.0909715943236195
"109",1,109,109,2.92943766347295,0.0902828781886847
"110",1,110,110,3.07465982669945,0.0871265530655845
