,datetime,Year,Month,Day,tmax,tmin,tmean,precip,season,days_since_aug_1,tmin_avg_14,tmax_avg_14,tmean_avg_14,precip_total_14,tmin_avg_7,tmax_avg_7,tmean_avg_7,precip_total_7,temp_swing,temp_swing_cumulative_14,temp_swing_cumulative_7,tmin_t-1,tmax_t-1,tmean_t-1,precip_t-1,tmin_t-2,tmax_t-2,tmean_t-2,precip_t-2,sunlight,sunlight_14_total,sunlight_7_total,DD_10,DD_9,DD_8,DD_7,DD_6,DD_5,DD_0,DD_10_14,DD_9_14,DD_8_14,DD_7_14,DD_6_14,DD_5_14,DD_0_14,DD_10_sum,DD_9_sum,DD_8_sum,DD_7_sum,DD_6_sum,DD_5_sum,DD_0_sum,tmax_delta,tmax_delta_14,tmin_delta,tmin_delta_14,tmean_delta,tmean_delta_14,DD_10_delta,DD_10_delta_14,DD_9_delta,DD_9_delta_14,DD_8_delta,DD_8_delta_14,DD_7_delta,DD_7_delta_14,DD_6_delta,DD_6_delta_14,DD_5_delta,DD_5_delta_14,DD_0_delta,DD_0_delta_14,DD_5_delta_test,tmax_avg_14_delta_test,tmin_avg_14_delta_test,sunlight_delta,sunlight_delta_14
0,2012-10-01,2012,10,1,22.8,6.1,14.5,0.0,1,61,7.271428571428571,24.585714285714285,15.964285714285714,3.1999999999999997,7.371428571428572,24.014285714285712,15.72857142857143,3.0,16.700000000000003,243.2,117.3,5.4,22.1,13.8,0.0,8.3,25.6,17.0,0.0,11.748333333333333,169.7927777777778,83.80166666666668,4.5,5.5,6.5,7.5,8.5,9.5,0.0,79.9,93.9,107.9,121.9,135.9,149.9,0.0,181.6,212.6,243.6,274.6,305.6,336.6,0.0,0.6999999999999993,-3.1999999999999993,0.6999999999999993,-4.0,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.6999999999999993,-3.599999999999998,0.0,0.0,-3.6999999999999886,-0.17857142857142705,0.4071428571428566,-0.044722222222222996,-0.6252777777777769
1,2012-10-02,2012,10,2,19.1,5.9,12.5,0.0,1,62,6.985714285714287,24.357142857142858,15.707142857142859,3.1999999999999997,7.0,23.757142857142856,15.414285714285715,0.0,13.200000000000001,242.2,114.5,6.1,22.8,14.5,0.0,5.4,22.1,13.8,0.0,11.703888888888889,169.1675,83.4888888888889,2.5,3.5,4.5,5.5,6.5,7.5,0.0,78.4,92.4,106.4,120.4,134.4,148.4,0.0,184.1,216.1,248.1,280.1,312.1,344.1,0.0,-3.6999999999999993,-2.0,-0.1999999999999993,-1.0,-2.0,-1.5,-2.0,-1.5,-2.0,-1.5,-2.0,-1.5,-2.0,-1.5,-2.0,-1.5,-2.0,-1.5,0.0,0.0,-4.799999999999983,-0.4142857142857146,-0.14285714285714146,-0.04444444444444429,-0.6252777777777769
2,2012-10-03,2012,10,3,15.2,1.5,8.4,0.0,1,63,6.914285714285714,24.214285714285715,15.600000000000003,3.1999999999999997,6.985714285714286,23.342857142857145,15.200000000000001,0.0,13.7,234.79999999999998,116.10000000000001,5.9,19.1,12.5,0.0,6.1,22.8,14.5,0.0,11.659166666666666,168.54222222222222,83.17611111111111,0.0,0.0,0.40000000000000036,1.4000000000000004,2.4000000000000004,3.4000000000000004,0.0,76.80000000000001,90.80000000000001,104.80000000000001,118.80000000000001,132.8,146.79999999999998,0.0,184.1,216.1,248.5,281.5,314.5,347.5,0.0,-3.900000000000002,-5.299999999999997,-4.4,2.1000000000000005,-4.1,-1.5999999999999996,-2.5,-1.5999999999999996,-3.5,-1.5999999999999996,-4.1,-1.5999999999999996,-4.1,-1.5999999999999996,-4.1,-1.5999999999999996,-4.1,-1.5999999999999996,0.0,0.0,-1.1000000000000227,-0.5785714285714256,-0.1285714285714299,-0.044722222222222996,-0.6252777777777787
3,2012-10-04,2012,10,4,16.2,-0.8,7.7,0.0,1,64,7.064285714285715,23.835714285714285,15.485714285714286,3.1999999999999997,5.971428571428571,22.557142857142857,14.299999999999999,0.0,17.0,229.6,114.7,1.5,15.2,8.4,0.0,5.9,19.1,12.5,0.0,11.614722222222222,167.91694444444445,82.86361111111111,0.0,0.0,0.0,0.7000000000000002,1.7000000000000002,2.7,0.0,70.2,83.2,96.6,110.6,124.6,138.6,0.0,184.1,216.1,248.5,282.2,316.2,350.2,0.0,1.0,-10.8,-2.3,-5.6,-0.7000000000000002,-8.200000000000001,0.0,-6.600000000000001,0.0,-7.600000000000001,-0.40000000000000036,-8.200000000000001,-0.7000000000000002,-8.200000000000001,-0.7000000000000002,-8.200000000000001,-0.7000000000000002,-8.200000000000001,0.0,0.0,-10.600000000000023,-0.8500000000000014,0.6642857142857146,-0.04444444444444429,-0.6252777777777787
4,2012-10-05,2012,10,5,15.6,-0.6,7.5,0.0,1,65,6.6642857142857155,23.064285714285713,14.9,2.9999999999999996,5.214285714285714,21.599999999999998,13.442857142857145,0.0,16.2,230.3,114.0,-0.8,16.2,7.7,0.0,1.5,15.2,8.4,0.0,11.570277777777779,167.29166666666666,82.55111111111111,0.0,0.0,0.0,0.5,1.5,2.5,0.0,62.80000000000001,74.80000000000001,87.2,100.9,114.9,128.9,0.0,184.1,216.1,248.5,282.7,317.7,352.7,0.0,-0.5999999999999996,-9.3,0.20000000000000007,-10.0,-0.20000000000000018,-9.7,0.0,-7.399999999999999,0.0,-8.399999999999999,0.0,-9.399999999999999,-0.20000000000000018,-9.7,-0.20000000000000018,-9.7,-0.20000000000000018,-9.7,0.0,0.0,-22.0,-1.7928571428571445,0.257142857142858,-0.04444444444444251,-0.625
5,2012-10-06,2012,10,6,16.6,0.4,8.5,0.0,1,66,5.95,22.4,14.207142857142857,2.9999999999999996,4.428571428571429,20.714285714285715,12.599999999999998,0.0,16.200000000000003,227.7,110.8,-0.6,15.6,7.5,0.0,-0.8,16.2,7.7,0.0,11.525833333333333,166.66666666666666,82.2388888888889,0.0,0.0,0.5,1.5,2.5,3.5,0.0,57.0,68.0,79.4,92.6,106.6,120.6,0.0,184.1,216.1,249.0,284.2,320.2,356.2,0.0,1.0000000000000018,-9.6,1.0,-7.0,1.0,-8.3,0.0,-5.800000000000001,0.0,-6.800000000000001,0.5,-7.800000000000001,1.0,-8.3,1.0,-8.3,1.0,-8.3,0.0,0.0,-30.0,-2.5285714285714285,-0.621428571428571,-0.04444444444444606,-0.625
6,2012-10-07,2012,10,7,17.7,-1.1,8.3,0.0,1,67,5.45,21.714285714285715,13.614285714285716,2.9999999999999996,3.685714285714286,19.514285714285712,11.628571428571428,0.0,18.8,226.20000000000002,109.7,0.4,16.6,8.5,0.0,-0.6,15.6,7.5,0.0,11.481666666666666,166.04166666666666,81.92694444444444,0.0,0.0,0.3000000000000007,1.3000000000000007,2.3000000000000007,3.3000000000000007,0.0,50.900000000000006,60.900000000000006,71.8,85.0,99.0,113.0,0.0,184.1,216.1,249.3,285.5,322.5,359.5,0.0,1.0999999999999979,-8.299999999999997,-1.5,-6.8,-0.1999999999999993,-7.600000000000001,0.0,-6.100000000000001,0.0,-7.100000000000001,-0.1999999999999993,-7.600000000000001,-0.1999999999999993,-7.600000000000001,-0.1999999999999993,-7.600000000000001,-0.1999999999999993,-7.600000000000001,0.0,0.0,-35.69999999999999,-3.150000000000002,-1.1500000000000004,-0.044166666666667354,-0.6247222222222213
7,2012-10-08,2012,10,8,18.6,0.9,9.8,0.0,1,68,4.964285714285714,21.121428571428574,13.071428571428571,2.9999999999999996,2.557142857142857,18.228571428571428,10.414285714285715,0.0,17.700000000000003,229.1,111.80000000000001,-1.1,17.7,8.3,0.0,0.4,16.6,8.5,0.0,11.4375,165.41694444444445,81.61527777777778,0.0,0.8000000000000007,1.8000000000000007,2.8000000000000007,3.8000000000000007,4.800000000000001,0.0,44.900000000000006,53.900000000000006,64.10000000000001,77.3,91.3,105.3,0.0,184.1,216.9,251.1,288.3,326.3,364.3,0.0,0.9000000000000021,-6.199999999999999,2.0,-9.1,1.5,-7.699999999999999,0.0,-6.0,0.8000000000000007,-7.0,1.5,-7.699999999999999,1.5,-7.699999999999999,1.5,-7.699999999999999,1.5,-7.699999999999999,0.0,0.0,-37.300000000000026,-3.3714285714285666,-1.7285714285714278,-0.04416666666666558,-0.6241666666666674
8,2012-10-09,2012,10,9,18.5,2.9,10.7,0.0,1,69,4.314285714285714,20.678571428571427,12.52142857142857,-4.440892098500626e-16,1.6285714285714286,17.6,9.62857142857143,0.0,15.6,227.3,112.80000000000001,0.9,18.6,9.8,0.0,-1.1,17.7,8.3,0.0,11.393333333333334,164.79277777777776,81.30388888888888,0.6999999999999993,1.6999999999999993,2.6999999999999993,3.6999999999999993,4.699999999999999,5.699999999999999,0.0,38.900000000000006,47.7,57.900000000000006,71.10000000000001,85.10000000000001,99.10000000000001,0.0,184.8,218.6,253.8,292.0,331.0,370.0,0.0,-0.10000000000000142,-7.099999999999998,2.0,-5.3,0.8999999999999986,-6.199999999999999,0.6999999999999993,-6.0,0.8999999999999986,-6.199999999999999,0.8999999999999986,-6.199999999999999,0.8999999999999986,-6.199999999999999,0.8999999999999986,-6.199999999999999,0.8999999999999986,-6.199999999999999,0.0,0.0,-44.09999999999998,-3.4285714285714306,-1.885714285714287,-0.04416666666666558,-0.62361111111111
9,2012-10-10,2012,10,10,18.5,0.8,9.7,0.0,1,70,3.9357142857142855,20.17142857142857,12.078571428571427,-4.440892098500626e-16,0.8857142857142858,17.000000000000004,8.957142857142857,0.0,17.7,231.3,115.2,2.9,18.5,10.7,0.0,0.9,18.6,9.8,0.0,11.349166666666667,164.16916666666665,80.99305555555554,0.0,0.6999999999999993,1.6999999999999993,2.6999999999999993,3.6999999999999993,4.699999999999999,0.0,30.8,39.60000000000001,49.800000000000004,63.00000000000001,77.0,91.0,0.0,184.8,219.3,255.5,294.7,334.7,374.7,0.0,0.0,-6.100000000000001,-2.0999999999999996,-10.1,-1.0,-8.100000000000001,-0.6999999999999993,-8.100000000000001,-1.0,-8.100000000000001,-1.0,-8.100000000000001,-1.0,-8.100000000000001,-1.0,-8.100000000000001,-1.0,-8.100000000000001,0.0,0.0,-59.19999999999999,-4.414285714285715,-1.8642857142857143,-0.044166666666667354,-0.6230555555555544
